function,method,eps0,iters_used,final_log10_eps_f,max_log10_eps_f
quadratic_bad_4,gradient_descent,1e-06,899,-4.886056647909843,-3.4691602213834796
quadratic_bad_4,gradient_descent,0.0001,899,-2.886056647909843,-1.4691602213834796
quadratic_bad_4,gradient_descent,0.01,899,-0.8860566479098431,0.5308397786165204
quadratic_bad_4,nelder_mead,1e-06,121,-4.886062462831617,-3.620694482249418
quadratic_bad_4,nelder_mead,0.0001,121,-2.8860624628316174,-1.620694482249418
quadratic_bad_4,nelder_mead,0.01,121,-0.8860624628316174,0.37930551775058197
quadratic_good_6,gradient_descent,1e-06,65,-4.95860729554672,-4.795880017344075
quadratic_good_6,gradient_descent,0.0001,65,-2.9586053412260362,-2.7958800173440754
quadratic_good_6,gradient_descent,0.01,65,-0.9584099535560355,-0.7958800173440753
quadratic_good_6,nelder_mead,1e-06,203,-4.958604290316888,-4.811305826728727
quadratic_good_6,nelder_mead,0.0001,203,-2.9586027123271137,-2.811305826728727
quadratic_good_6,nelder_mead,0.01,203,-0.9584073258395769,-0.8113058267287272
rosenbrock_3,gradient_descent,1e-06,4000,-8.137103538096525,-3.3730440475379933
rosenbrock_3,gradient_descent,0.0001,4000,-4.733547400473654,-1.3730439329167456
rosenbrock_3,gradient_descent,0.01,4000,-0.7431410006241777,0.6270974124321986
rosenbrock_3,nelder_mead,1e-06,213,-8.459927738045096,-3.3730440475379933
rosenbrock_3,nelder_mead,0.0001,213,-4.740807501632567,-1.3730439329167456
rosenbrock_3,nelder_mead,0.01,213,-0.7428018785832009,0.6270974124321986
